edge_id,source,target,edge_type,paper_id
E000001,ICT_L1_ハードウェア,ICT_L2_タブレット端末,hierarchy,
E000002,ICT_L2_タブレット端末,ICT_L3_NEXUS7,hierarchy,
E000003,FUNCTION_L1_可視化・表示系機能,FUNCTION_L2_映像・画像の表示・拡大,hierarchy,
E000004,FUNCTION_L2_映像・画像の表示・拡大,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,hierarchy,
E000005,ICT_L3_NEXUS7,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,ict_function,1
E000006,FUNCTION_L2_映像・画像の表示・拡大,FUNCTION_L3_顕微鏡以上の拡大表示が可能,hierarchy,
E000007,ICT_L3_NEXUS7,FUNCTION_L3_顕微鏡以上の拡大表示が可能,ict_function,1
E000008,OPPORTUNITY_L2_微細な物質や構造の変化を捉える観察,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,hierarchy,
E000009,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,function_opportunity,1
E000010,FUNCTION_L3_顕微鏡以上の拡大表示が可能,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,function_opportunity,1
E000011,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,hierarchy,
E000012,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,function_opportunity,1
E000013,FUNCTION_L3_顕微鏡以上の拡大表示が可能,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,function_opportunity,1
E000014,EFFECT_L2_科学的概念・法則の理解,EFFECT_L3_粒子の運動に関する理解が深まる,hierarchy,
E000015,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,EFFECT_L3_粒子の運動に関する理解が深まる,opportunity_effect,1
E000016,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,EFFECT_L3_粒子の運動に関する理解が深まる,opportunity_effect,1
E000017,EFFECT_L2_理科への興味・関心・意欲,EFFECT_L3_観察に対する意欲が高まる,hierarchy,
E000018,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,EFFECT_L3_観察に対する意欲が高まる,opportunity_effect,1
E000019,UNIT_L1_中学校,UNIT_L2_中学校1年,hierarchy,
E000020,UNIT_L2_中学校1年,UNIT_L3_化学,hierarchy,
E000021,UNIT_L3_化学,UNIT_L4_物質のすがた（身の回りの物質とその性質）,hierarchy,
E000022,EFFECT_L3_粒子の運動に関する理解が深まる,UNIT_L4_物質のすがた（身の回りの物質とその性質）,effect_unit,1
E000023,EFFECT_L3_観察に対する意欲が高まる,UNIT_L4_物質のすがた（身の回りの物質とその性質）,effect_unit,1
E000024,ICT_L2_タブレット端末,ICT_L3_携帯端末,hierarchy,
E000025,ICT_L1_ソフトウェア,ICT_L2_観測・記録アプリ,hierarchy,
E000026,ICT_L2_観測・記録アプリ,ICT_L3_カメラアプリ,hierarchy,
E000027,ICT_L1_ソフトウェア,ICT_L2_メディア・映像・画像,hierarchy,
E000028,ICT_L2_メディア・映像・画像,ICT_L3_タイムラプス動画,hierarchy,
E000029,FUNCTION_L1_可視化・表示系機能,FUNCTION_L2_空間・地形情報の可視化,hierarchy,
E000030,FUNCTION_L2_空間・地形情報の可視化,FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,hierarchy,
E000031,ICT_L3_タイムラプス動画,FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,ict_function,3
E000032,FUNCTION_L2_空間・地形情報の可視化,FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,hierarchy,
E000033,ICT_L3_タイムラプス動画,FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,ict_function,3
E000034,FUNCTION_L1_学習支援・管理系機能,FUNCTION_L2_学習支援・管理,hierarchy,
E000035,FUNCTION_L2_学習支援・管理,FUNCTION_L3_個々の端末を用いていつでも撮影が可能,hierarchy,
E000036,ICT_L3_タイムラプス動画,FUNCTION_L3_個々の端末を用いていつでも撮影が可能,ict_function,3
E000037,FUNCTION_L1_分析・比較系機能,FUNCTION_L2_比較・探索機能,hierarchy,
E000038,FUNCTION_L2_比較・探索機能,FUNCTION_L3_撮影データを繰り返し分析・比較が可能,hierarchy,
E000039,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,hierarchy,
E000040,FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000041,FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000042,FUNCTION_L3_個々の端末を用いていつでも撮影が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000043,FUNCTION_L3_撮影データを繰り返し分析・比較が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000044,OPPORTUNITY_L2_他者の成果を参照し自らの考えを再構成する活動,OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,hierarchy,
E000045,FUNCTION_L3_撮影データを繰り返し分析・比較が可能,OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,function_opportunity,3
E000046,EFFECT_L2_自然現象等の理解,EFFECT_L3_雲の動きや発生に関する理解が深まる,hierarchy,
E000047,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,EFFECT_L3_雲の動きや発生に関する理解が深まる,opportunity_effect,3
E000048,EFFECT_L2_自然現象等の理解,EFFECT_L3_大気の動きや気象現象に関する理解が深まる,hierarchy,
E000049,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,EFFECT_L3_大気の動きや気象現象に関する理解が深まる,opportunity_effect,3
E000050,EFFECT_L2_理科への興味・関心・意欲,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,hierarchy,
E000051,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,opportunity_effect,3
E000052,OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,opportunity_effect,3
E000053,UNIT_L1_高等学校,UNIT_L2_高等学校3年,hierarchy,
E000054,UNIT_L2_高等学校3年,UNIT_L3_地学,hierarchy,
E000055,UNIT_L3_地学,UNIT_L4_大気と海洋（大気の海水の運動）,hierarchy,
E000056,EFFECT_L3_雲の動きや発生に関する理解が深まる,UNIT_L4_大気と海洋（大気の海水の運動）,effect_unit,3
E000057,EFFECT_L3_大気の動きや気象現象に関する理解が深まる,UNIT_L4_大気と海洋（大気の海水の運動）,effect_unit,3
E000058,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,UNIT_L4_大気と海洋（大気の海水の運動）,effect_unit,3
E000059,ICT_L1_ハードウェア,ICT_L2_センサー・計測機器,hierarchy,
E000060,ICT_L2_センサー・計測機器,ICT_L3_データロガー,hierarchy,
E000061,ICT_L2_センサー・計測機器,ICT_L3_酸素濃度センサー,hierarchy,
E000062,ICT_L2_センサー・計測機器,ICT_L3_二酸化炭素濃度センサー,hierarchy,
E000063,ICT_L1_ハードウェア,ICT_L2_表示機器,hierarchy,
E000064,ICT_L2_表示機器,ICT_L3_液晶ディスプレイ,hierarchy,
E000065,ICT_L1_ハードウェア,ICT_L2_PC,hierarchy,
E000066,ICT_L2_PC,ICT_L3_PC,hierarchy,
E000067,ICT_L3_酸素濃度センサー,ICT_L3_PC,ict_combination,4
E000068,ICT_L3_二酸化炭素濃度センサー,ICT_L3_PC,ict_combination,4
E000069,FUNCTION_L1_可視化・表示系機能,FUNCTION_L2_データ・現象の可視化,hierarchy,
E000070,FUNCTION_L2_データ・現象の可視化,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,hierarchy,
E000071,ICT_L3_液晶ディスプレイ,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,ict_function,4
E000072,FUNCTION_L2_データ・現象の可視化,FUNCTION_L3_気体濃度データのグラフ表示が可能,hierarchy,
E000073,ICT_L3_液晶ディスプレイ,FUNCTION_L3_気体濃度データのグラフ表示が可能,ict_function,4
E000074,FUNCTION_L1_共有・協働・通信系機能,FUNCTION_L2_データ・資料の共有,hierarchy,
E000075,FUNCTION_L2_データ・資料の共有,FUNCTION_L3_同じ画面を児童同士で共有が可能,hierarchy,
E000076,ICT_L3_液晶ディスプレイ,FUNCTION_L3_同じ画面を児童同士で共有が可能,ict_function,4
E000077,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,hierarchy,
E000078,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,function_opportunity,4
E000079,FUNCTION_L3_気体濃度データのグラフ表示が可能,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,function_opportunity,4
E000080,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,OPPORTUNITY_L3_光合成と呼吸の比較・観察する活動,hierarchy,
E000081,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,OPPORTUNITY_L3_光合成と呼吸の比較・観察する活動,function_opportunity,4
E000082,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,OPPORTUNITY_L3_観察結果を他者と共有する活動,hierarchy,
E000083,FUNCTION_L3_同じ画面を児童同士で共有が可能,OPPORTUNITY_L3_観察結果を他者と共有する活動,function_opportunity,4
